key,course,credits,type
ACP24A,ANACORTES COLLEGE PREP 2024,0.5,Elective
ACP24A,2024 ANACORTES COLLEGE PREP,1.0,
ACP24B,ANACORTES COLLEGE PREP 2024,0.5,Elective
ACP25A,2025 ANACORTES COLLEGE PREP,1.0,
ACP26A,2026 ANACORTES COLLEGE PREP,1.0,
ACP27A,2027 ANACORTES COLLEGE PREP,1.0,
AR100A,DRAWING,0.5,Elective
AR100A,DRAWING I & II,0.5,
AR100A,DRAWING I & II,0.5,
AR100B,DRAWING II,0.5,Elective
AR100B,DRAWING I & II,0.5,
AR100B,DRAWING I & II,0.5,
AR150A,PAINTING,0.5,Elective
AR150A,PAINTING I & II,0.5,
AR150A,PAINTING I & II,0.5,
AR150B,PAINTING II,0.5,Elective
AR150B,PAINTING I &II,0.5,
AR150B,PAINTING I & II,0.5,
AR200A,CERAMICS I & II,0.5,
AR200B,CERAMICS I & II,0.5,
AR240A,SCULPTURE,0.5,Elective
AR240A,SCULPUTRE I & II,0.5,
AR240A,SCULPTURE I & II,0.5,
AR240B,SCULPTURE II,0.5,Elective
AR240B,SCULPTURE I & II,0.5,
AR240B,SCULPUTRE I & II,0.5,
CIHSSA,SENIOR SEMINAR,0.5,Elective
CIHSSA,SENIOR SEMINAR A & B / CSS 103 (CIH),1.0,
CIHSSB,SENIOR SEMINAR,0.5,Elective
DRA110,DRAMA I,0.5,Elective
DRA110,DRAMA I,0.5,
DRA110,DRAMA I,0.5,
DRA200,DRAMA II,0.5,Elective
DRA200,DRAMA II,0.5,
DRA200,DRAMA II,0.5,
DRA300,DRAMA III,0.5,Elective
DRA300,DRAMA III,1.0,
DRA301,DRAMA III,0.5,Elective
DT500A,ADV TECHNICAL THEATRE,0.5,Elective
DT500A,TECH THEATRE (Permission Req.),0.5,
DT500A,TECH THEATRE (Application Req.),0.5,
DT500B,ADV TECH THEATRE,0.5,Elective
DT500B,TECH THEATRE (Permission Req.),0.5,
DT500B,TECH THEATRE (Application Req.),0.5,
ELECTI,PERSONAL FINANCE I VOC740 ADDITIONAL,0.5,
EN100A,ENGLISH 9 (WITH HONORS OPTIONS),1.0,
EN100A,9TH ENGLISH (W/ HONORS OPTION),1.0,
EN200A,ENGLISH 10 (WITH HONORS OPTIONS),1.0,
EN300A,ENGLISH 11,1.0,
EN420A,ENGLISH 12 BTC,0.5,Required
EN420A,ENGLISH 12 BRIDGE TO COLLEGE,1.0,
EN420B,ENGLISH 12 BTC,0.5,Required
EN710A,AP LANGUAGE / ENGLISH COMP 101 (CIH),1.0,
EN720A,AP LITERATURE,0.5,Required
EN720A,AP ENGLISH LITERATURE,1.0,
EN720B,AP LITERATURE,0.5,Required
HLT101,HEALTH,0.5,
HLT101,HEALTH,0.5,
MA100A,ALG I SUPPORT (IF ASSIGNED),1.0,
MA130A,ALGEBRA I,1.0,
MA130A,ALGEBRA I,1.0,
MA140A,GEOMETRY,1.0,
MA140A,GEOMETRY,1.0,
MA150A,ALGEBRA II,0.5,Required
MA150A,ALGEBRA II,1.0,
MA150A,ALGEBRA II,1.0,
MA150B,ALGEBRA II,0.5,Required
MA155A,ALG II HONORS,0.5,Required
MA155A,ALGEBRA II HONORS,1.0,
MA155A,ALGEBRA II HONORS,1.0,
MA155B,ALG II HONORS,0.5,Required
MA15AB,ALGEBRA II HON AB / AP PRE-CALC AB,1.0,
MA20AB,ALGEBRA II HON AB / AP PRE-CALC AB,1.0,
MA210A,AP PRE CALCULUS,1.0,
MA310A,BRIDGE TO COLLEGE MATH 11TH-12TH,1.0,
MA700A,AP CALCULUS AB/BC,1.0,
MA720A,AP STATISTICS,1.0,
MIS053,STUDY SKILLS A,0.5,Required
MIS053,STUDY SKILLS A & B,1.0,
MIS053,STUDY SKILLS A & B,1.0,
MIS054,STUDY SKILLS B,0.5,Required
MU100A,CHOIR,0.5,Required
MU100A,CHOIR,0.5,
MU100A,CHOIR,0.5,
MU100B,CHOIR,0.5,Required
MU100B,CHOIR,0.5,
MU100B,CHOIR,0.5,
MU500A,GUITAR,0.5,
MU500B,GUITAR,0.5,
MU600A,SYMPHONIC BAND,0.5,Required
MU600A,SYMPHONIC BAND,0.5,
MU600A,SYMPHONIC BAND,0.5,
MU600B,SYMPHONIC BAND,0.5,Required
MU600B,SYMPHONIC BAND,0.5,
MU600B,SYMPHONIC BAND,0.5,
MU620A,WIND ENSEMBLE,0.5,Elective
MU620A,WIND ENSEMBLE (Audition Req.),0.5,
MU620A,WIND ENSEMBLE (Audition Req.),0.5,
MU620B,WIND ENSEMBLE,0.5,Elective
MU620B,WIND ENSEMBLE (Audition Req.),0.5,
MU620B,WIND ENSEMBLE (Audition Req.),0.5,
MU640A,PERCUSSION ENSEMBLE,0.5,Elective
MU640A,PERCUSSION,0.5,
MU640A,PERCUSSION A,0.5,
MU640B,PERCUSSION ENSEMBLE,0.5,Elective
MU640B,PERCUSSION,0.5,
MU640B,PERCUSSION B,0.5,
MU800A,JAZZ CHOIR A (Audition Req.),0.25,
MU800B,JAZZ CHOIR B (Audition Req.),0.25,
MU820A,JAZZ BAND A (Audition Req.),0.25,
MU820B,JAZZ BAND B (Audition Req.),0.25,
PE100A,SPORTS/CONDITIONING,0.5,Elective
PE100A,SPORTS & CONDITIONING,0.5,
PE100A,SPORTS & CONDITIONING,0.5,
PE100B,SPORTS CONDITIONING,0.5,Elective
PE100B,SPORTS & CONDITIONING,0.5,
PE100B,SPORTS & CONDITIONING,0.5,
PE130A,STRENGTH CONDITIONING,0.5,Elective
PE130A,STRENGTH & CONDITIONING,0.5,
PE130A,STRENGTH & CONDITIONING,0.5,
PE130B,STRENGTH CONDITIONING,0.5,Elective
PE130B,STRENGTH & CONDITIONING,0.5,
PE130B,STRENGTH & CONDITIONING,0.5,
